Title,Company,Location,Salary
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
"Director, Disability Inclusion",Workday,"6110 Stoneridge Mall Rd, Pleasanton, CA",129.22
In-store Warehouse Worker - Replenishment,IKEA,"1475 S Coast Dr, Costa Mesa, CA 92626",25.07
Dishwasher,Gus's Steakhouse,"1183 Mono Way, Sonora, CA 95370",16.5
"Assistant, Acquisitions & Co-Productions",Lionsgate,"Santa Monica, CA 90404",22.92
Part-Time Beauty Advisor - Sephora,KOHLS,"1013 Riley St, Folsom, CA 95630",19.5
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Administrative Assistant,"Redline Air, Inc.","Chino, CA 91710",25.0
Register Operator or Barista,18 Grams Coffee & Tea,"Elk Grove, CA 95624",16.0
Guest Services Agent,UCLA,"Los Angeles, CA",29.72
Gardener- SF Citywide (3417),City and County of San Francisco,"San Francisco, CA 94117",40.0
Park Maintenance Worker I,City of Fremont,"3300 Capitol Ave # B, Fremont, CA 94538",40.31
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Front of House - Brewpub Crew Member,Karl Strauss Brewing Company,"10448 Reserve Drive, San Diego, CA 92127",29.0
Medical Receptionist,BASS MEDICAL GROUP,"Gilroy, CA",25.0
Administrative Assistant,Moore & Associates,"San Diego, CA 92126",27.5
New & Used Car Contract Clerk - Regional Business Office,Fletcher Jones Management West,"Ontario, CA 91761",29.0
Cart Clerk,WinCo Foods,"396 W Ashlan Ave, Clovis, CA 93612",16.25
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Groundsworker,"California State University, Long Beach","1250 Bellflower Blvd, Long Beach, CA 90840",27.1
Groundsworker,"California State University, Long Beach","1250 Bellflower Blvd, Long Beach, CA 90840",27.1
Customer Experience Associate,Cobalt Robotics,"333 S Figueroa St, Los Angeles, CA 90071",30.28
LEGOLAND Hotel Front Desk Host,LEGOLAND Parks,"1 Legoland Dr, Carlsbad, CA 92008",18.5
Data Entry,Mid Valley Disposal,"Kerman, CA 93630",18.0
Housekeeper/House Cleaner (Up to $1200 / Week),Maid 2 Order,"Rancho Cucamonga, CA",27.5
Grocery Bagger,PriceCo Foods,"13765 Mono Way, Sonora, CA 95370",16.0
FRONT OFFICE HOST,Hyatt Regency San Francisco Airport,"Burlingame, CA",26.29
Cashier,Valley View Casino & Hotel,"16300 Nyemii Pass Road, Valley Center, CA 92082",17.5
Seasonal Sales Support- Glendale,Tiffany & Co.,"796 Americana Way, Glendale, CA 91210",22.5
Part Time Data Entry Clerk,Ares,"Ares in Alhambra, CA 91801",20.77
Full-Time Store Associate,ALDI,"Arroyo Grande, CA",17.5
Transport Officer,ISS ACTION,"221 W Aten Rd, Imperial, CA 92251",35.97
Election Operations Driver- County of Los Angeles,County of Los Angeles: Registrar-Recorder / County Clerk,"13401 Crossroads Parkway North, Industry, CA 91746",26.22
TEAM LEAD - BLOOMINGDALE'S,Louis Vuitton,"San Francisco, CA",36.0
PARK MAINTENANCE WORKER I,Department of Parks & Recreation,"Mendocino County, CA",27.24
Resource Employee - Video Annotator,USC,"Los Angeles, CA",26.0
Budtender (Part-Time),Cookies Retail,"811 West Main Street, Merced, CA 95340",16.0
Doughnut Specialist,Krispy Kreme Doughnuts,"Palmdale, CA 93551",16.75
Cashier,Valley View Casino & Hotel,"16300 Nyemii Pass Road, Valley Center, CA 92082",17.5
Social Media Strategist,Stanford University,"Stanford, CA",51.56
"JD Associate - Mall of Victor Valley - Victorville, CA",Finish Line,"14580 Bear Valley Road, Victorville, CA 92393",16.0
Laundry Attendant,Four Seasons,"Los Angeles, CA",24.9
"Patient Services Representative, Urgent Care",Sutter Health,"San Mateo, CA",32.16
Packer,Tree Island Industries,"San Bernardino, CA 92407",18.5
Custodian - Laney College,Peralta Community College District,"Oakland, CA",27.1
Grocery Associate/Cashier,Grocery Outlet,"2275 South Euclid Avenue, Ontario, CA 91761",16.5
Administrative Coordinator,"University of California, Riverside","900 University Ave, Riverside, CA 92521",43.01
Warehouse Team Member,Grocery Outlet,"Sacramento, CA",19.0
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
"OPERATIONS ASSOCIATE, PART TIME - VALLEY FAIR",Louis Vuitton,"Santa Clara, CA 95050",26.0
Front Desk Receptionist,"Marriott International, Inc","West Hollywood, CA 90069",27.0
Appointment Center Service Representative,Kaiser Permanente,"El Cajon, CA",26.48
Content Marketing Analytics Analyst,Disney,"Santa Monica, CA",56.93
VA/Military Liaison,Akua Behavioral Health,"Newport Beach, CA 92660",50.78
Game Analyst,Tencent,"Los Angeles, CA",46.43
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Warehouse,Edges Electrical Group,"Turlock, CA 95380",20.5
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Customer Service Representative (Remote),California FAIR Plan Association,"Los Angeles, CA",27.81
Packaging Operator Days,Valley Milk Llc,"400 North Washington Road, Turlock, CA 95380",20.0
Greeter,Hillstone Restaurant Group,"Newport Beach, CA 92660",40.0
Entry Level Crusher Operator,GOLDEN QUEEN MINING COMPANY LLC,"2818 Silver Queen Road, Mojave, CA 93501",23.87
Customer Service Representative,DHL,"6551 W Schulte Rd, Tracy, CA 95377",22.0
PAINTER,San Jose/Evergreen Community College District,"San Jose, CA 95113",46.38
Mini Bar Attendant,1 Hotel West Hollywood,"8490 West Sunset Boulevard, West Hollywood, CA 90069",25.4
Receptionist,Eskaton Frank Jaconetti Manor,"Colusa, CA 95932",20.86
Electrical Line Helper - Department of Technology (7432),City and County of San Francisco,"200 Paul Avenue, San Francisco, CA 94124",51.39
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Research Data Analyst 2,Stanford University,"Stanford, CA",54.95
Content Creator,California Public Employees' Retirement System (CalPERS),"400 Q Street, Sacramento, CA 95811",38.83
Patient Access Representative II,Sutter Health,"Sacramento, CA",30.24
Game Master/Front Desk Associate,Red Door Escape Room,"Rancho Cordova, CA 95742",17.5
Front Desk Agent - Tommie Hollywood Hotel,Tommie Hollywood Hotel,"6516 Selma Avenue, Los Angeles, CA 90028",24.0
Online Moderator for Educational Sessions,Tomo Club,California,25.0
Packaging Associate,Fantastical Enterprises,"Rancho Cordova, CA 95742",18.0
"Front Desk Receptionist, Spanish $25 hrly w/ Benefits",St. John's Well Child & Family Center,"808 West 58th Street, Los Angeles, CA 90037",25.0
React Native,Zorang Technologies,"California City, CA",85.53
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Custodian,West Valley-Mission Community College District,"14000 Fruitvale Ave, Saratoga, CA 95070",33.48
Cart Associate - LAX Los Angeles International Airport - Part-Time seasonal,Smarte Carte,"Los Angeles, CA 90045",24.73
Background Investigator (Part-Time),San Joaquin County,"French Camp, CA",33.5
"Service Desk Support, Intermediate",Blue Shield of California,"El Dorado Hills, CA",24.85
GEOGRAPHIC INFO SYS PROGR 3 (GIS Specialist),"University of California, Davis","One Shields Avenue, Davis, CA 95616",47.34
School Staff Assistant II,Torrance Unified School District,"2335 Plaza Del AMO, Torrance, CA 90501",37.35
BASKETBALL SHOW HOST,Triplethreat.tv,"Triplethreat.tv in Los Angeles, CA 90015",30.0
Baristas wanted for expanding coffee shop,Nosy Neighbors Coffee & Donuts,"133 North Yale Avenue, Claremont, CA 91711",22.0
Front Desk Agent (Part-time),Grand Pine Cabins,"Wrightwood, CA 92397",17.5
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Office Admin,Valley Fitness,"Valley Fitness in Fresno, CA 93711",22.5
Dairy and Livestock Program Specialist,California Air Resources Board,"1001 I Street, Sacramento, CA 95814",51.67
Baby sitter,LA Fitness,"LA Fitness in Redlands, CA 92374",15.5
Team Member,Chuze Fitness,"San Bernardino, CA 92404",16.0
Farm Laborer,"University of California, Riverside","900 University Ave, Riverside, CA 92521",23.75
Director of Food Services,Stanford Health Care,"Palo Alto, CA 94305",92.01
Courtesy Clerk $17-$18/hr*,"Nugget Market, Inc.","7101 Elk Grove Boulevard, Elk Grove, CA 95758",17.5
"Data Entry Clerk - Roseville, CA",Philadelphia Insurance Companies,"2998 Douglas Blvd Ste 330, Roseville, CA 95661",19.82
Communications Specialist,Autodesk,"San Francisco, CA",54.21
TIKTOK LIVE SALES ANCHOR/HOST IN INDUSTRY CITY,HOT STAR AGENT LLC,"827 South Lawson Street, Industry, CA 91748",30.0
Firehouse Subs Crew Member/Cashier - Palmdale,FIREHOUSE SUBS - PALMDALE - ANTUNEZ RESTAURANT CORP,"Palmdale, CA 93551",17.5
"Prison Ind Sup II (Food & Beverage Packaging) - CIM - (Chino, CA)",CALIFORNIA PRISON INDUSTRY AUTHORITY,"14901 Central Avenue, Chino, CA 91710",44.39
ROTA Nanny,Prosperity Nannies & Lifestyle Management,"Prosperity Nannies & Lifestyle Management in Beverly Hills, CA 90211",75.52
Payment Poster Specialist,MeBe,California,27.5
Warehouse Associate,Domino's Corporate,"Ontario, CA 91761",23.0
Park Aide,CA State Parks - Millerton Lake SRA,"Friant, CA",18.09
Food Service Worker II,Natividad Medical Center,"1441 Constitution Boulevard, Salinas, CA 93906",25.78
TIKTOK LIVE SALES ANCHOR/HOST IN INDUSTRY CITY,HOT STAR AGENT LLC,"827 South Lawson Street, Industry, CA 91748",30.0
Tasting Room Barback,Altisima Winery,"37440 De Portola Road, Temecula, CA 92592",18.0
Behavior Support Assistant,Torrance Unified School District,"2335 Plaza Del AMO, Torrance, CA 90501",33.73
FRONT DESK HOST,Grand Hyatt San Francisco,"345 Stockton Street, San Francisco, CA 94108",32.06
PARK MAINTENANCE ASSISTANT (ANGEL ISLAND),Department of Parks & Recreation,"Marin County, CA",23.78
Public Works Maintenance Worker II,County of Orange,"Orange County, CA",26.62
Center Coordinator,Options For Youth Public Charter Schools,"Los Angeles, CA",28.57
Water Laborer,GENTRY BROTHERS INC,"Irwindale, CA 91706",41.84
Analyst- Social Media and Advocacy (NYX),L'Oreal,"El Segundo, CA",39.06
Public Affairs Writer,Tria Federal (Tria),"Port Hueneme, CA 93043",31.77
ED Registrar - Emergency Registration,Valley Children's Healthcare,"9300 Valley Children's Place, Madera, CA 93636",22.9
Team Member - Chino Hills Shoppes,7 Leaves Cafe,"Chino Hills, CA 91709",17.0
Assistant Superintendent,Holder Construction,"San Jose, CA",80.73
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Administrative Analyst I,City of Stockton,"Stockton, CA",37.01
Front Desk/Office Assistant (AI2279),SiMa Technologies,"San Jose, CA 95110",33.0
Executive Assistant,West Health,"10350 North Torrey Pines Road, San Diego, CA 92121",46.88
Housekeepr,Sequoia Hospital,"170 Alameda de las Pulgas, Redwood City, CA 94062",33.09
Marin County Fire Seasonal Opportunities 2024,"County of Marin, CA",California,31.45
Cashier,Valley View Casino & Hotel,"16300 Nyemii Pass Road, Valley Center, CA 92082",17.5
OR Clerk,San Antonio Regional Hospital,"999 San Bernardino Road, Upland, CA 91786",21.23
Food Packer,DO & CO,"4000 Redondo Beach Avenue, Redondo Beach, CA 90278",20.26
Residential Housekeeper,Private Household,"Los Angeles, CA",35.0
Business Analyst,BayOne,"Santa Clara, CA",81.0
Heavy Equipment Operator,Shadd Williams,"Orange County, CA",83.0
Cookie Crew,Insomnia Cookies,"430 State Street, Santa Barbara, CA 93101",16.25
DISHWASHER,FoodPlus,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",24.85
Front Desk Receptionist *Urgently Hiring*,LA Fitness,"LA Fitness in Northridge, CA 91324",16.78
Tableau Administrator,Vminds Technologies Inc,"800 Bay Street, Mountain View, CA 94041",62.5
Cashier,Valley View Casino & Hotel,"16300 Nyemii Pass Road, Valley Center, CA 92082",17.5
Production Supervisor,Tesla,"Tesla in Fremont, CA 94538",45.57
Production Supervisor,Tesla,"Tesla in Fremont, CA 94538",45.57
Housekeeping House Attendant,Four Seasons,"San Francisco, CA",28.1
Packager,Theraleaf Relief,"1014 Timothy Drive, San Jose, CA 95133",17.8
"REP, ADMITTING REGISTRATION",Pomona Valley Hospital Medical Center,"1798 North Garey Avenue, Pomona, CA 91767",21.3
Part-Time Retail Sales Associate,KOHLS,"14960 Summit Ave, Fontana, CA 92336",19.55
Movie Theater Employee,CGV Cinemas Los Angeles,"621 South Western Avenue, Los Angeles, CA 90005",16.78
Construction Documentation - Part Time - $28/HR,OnsiteIQ Capture Specialists Network,"San Diego, CA",28.0
Host,92 BBQ AYCE,"1925 W Carson St, Torrance, CA 90501",40.0
Retail Game Store Team Member,Kingdom Games,"14808 Olympic Drive, Clearlake, CA 95422",16.25
Grocery Clerk,Sprouts Farmers Market,"560 West Stuart Avenue, Redlands, CA 92373",18.02
Groundskeeper,Stanford University,"Stanford, CA",23.82
Homeless Outreach Worker (Spanish Speaker),Block by Block CA,"San Jose, CA",28.0
Teller,United Security Bank,"145 E Durian Ave, Coalinga, CA 93210",22.81
Concierge,Air Canada,"Los Angeles, CA",25.64
Customer Service Support Representative,Labcorp,"13112 Evening Creek Dr S, San Diego, CA 92128",26.88
Housekeeping Attendant,Kaiser Permanente,"Anaheim, CA",21.98
Grocery Associate,"Draeger's Supermarkets, Inc.","4100 Blackhawk Plaza Cir, Danville, CA 94506",24.2
Spanish CCHI or CMI Interpreters,"MLP Management, LLC","Oakland, CA",47.5
"Assistant, Digital Marketing - FX",Disney,"Los Angeles, CA",35.26
Janitor,Honda Center,"Anaheim, CA",22.0
Customer Experience Specialist,Air Canada,"Los Angeles, CA",22.47
Administrative Assistant,Sunbit,"Los Angeles, CA 90024",25.5
Laborer (Trails),US National Park Service,"Point Reyes Station, CA",21.82
Construction Worker,Roland Construction,"Desert Hot Springs, CA",22.16
Clerk Typist II,Hawthorne School District,"14120 Hawthorne Boulevard, Hawthorne, CA 90250",23.42
Front Desk Agent Part Time,Residence Inn Chatsworth,"Chatsworth, CA 91311",21.0
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
Library Media Technician I - Los Banos,Merced College,"22240 West Highway 152, Los Banos, CA 93635",26.85
Records Clerk III,Kaiser Permanente,"12761 Schabarum Avenue, Irwindale, CA 91706",26.93
Cleaner,Greener Glow Cleaning Co,"Upland, CA",26.5
Executive Assistant,Sutter Health,"Burlingame, CA 94010",53.0
Procurement and Travel Assistant,"University of California, Riverside","900 University Ave, Riverside, CA 92521",36.11
Call Center Specialist,UC San Diego Health,"7910 Frost St Ste 350, San Diego, CA 92123",28.51
Air Quality Data Management System Team Member,California Air Resources Board,"1001 I Street, Sacramento, CA 95814",51.67
Dishwasher,Community Memorial Healthcare,"1306 Maricopa Highway,Community Memorial Hospital - Ojai, Ojai, CA 93023",19.89
Administrative Assistant,Caresoft Inc,"Caresoft Inc in San Francisco, CA 94105",40.0
Payroll Technician,Downey Unified School District,"Downey, CA",36.52
DISABILITY EVALUATION SERVICES ADMINISTRATOR I,Department of Social Services,"Los Angeles County, CA",47.37
Food Service Worker I - Dishwasher,Stanford University,"Stanford, CA",22.89
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Sales Associate,Petco,"1425 N. Montebello Blvd., Montebello, CA 90640",20.25
Program Analyst,California Air Resources Board,"1001 I Street, Sacramento, CA 95814",39.99
OFFICE TECHNICIAN (TYPING),Department of Rehabilitation,"Los Angeles County, CA",23.71
Warehouse Laborer,FloorUS LLC,"Azusa, CA",23.5
Crew Member,Little Caesars,"43440 10th Street West, Lancaster, CA 93534",16.0
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
Budtender Non Storefront,HIGH CALIBER DIRECT INC,"Adelanto, CA 92301",15.5
Marketing Social Media Associate,See's Candies,"San Francisco, CA",42.97
Budtender Non Storefront,HIGH CALIBER DIRECT INC,"Adelanto, CA 92301",15.5
Marketing Social Media Associate,See's Candies,"San Francisco, CA",42.97
Forklift Operator,Guardian Glass,"Kingsburg, CA 93631",18.0
Experienced Material Handler/Forklift Operator - Pay Starting at $21 per hour,Plastipak Careers,"Modesto, CA",21.0
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
Greeter,Central Valley Chrysler Jeep Dodge Ram,"4460 McHenry Ave, Modesto, CA 95356",16.5
Fraud Analyst,California Public Employees' Retirement System (CalPERS),"400 Q Street, Sacramento, CA 95811",48.76
"Administrative Assistant, Special Situations Group","Oaktree Capital Management, L.P.","Los Angeles, CA",41.67
"Administrative Assistant, Special Situations Group","Oaktree Capital Management, L.P.","Los Angeles, CA",41.67
Administrative Coordinator III,Kaiser Permanente,"Anaheim, CA",30.63
Information Officer I - Public Information,California Department of Alcoholic Beverage Control,"12750 Center Court Drive South, Cerritos, CA 90703",38.83
Groundsworker,California State University,"Long Beach, CA",27.1
Spa Receptionist,"Marriott International, Inc","9040 West Sunset Boulevard, West Hollywood, CA 90069",27.0
Warehouse Associate,UNITED PARCEL SERVICE,"Tracy, CA",20.2
Retail Warehouse Associate,Best Buy,"715 East El Camino Real, Mountain View, CA 94040",17.83
Talent Agent,Nation Talent Agency,"9200 West Sunset Boulevard, West Hollywood, CA 90069",48.74
Receptionist,Mayo Dental,"23838 Valencia Boulevard, Valencia, CA 91355",25.0
Digital Advertising Specialist,KKO Productions,California,40.0
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Janitor - Housekeeper,Sanford Federal Inc,"3801 Miranda Ave, Palo Alto, CA 94304",26.0
Clinical Research Coordinatior - Neurology,UCLA Health,"Los Angeles, CA 90095",42.59
Human Resources Technician I-II-III,Valley Water,"5750 Almaden Expressway, San Jose, CA 95118",49.48
OXNARD PLANT TECHNICIAN,Procter & Gamble,"Oxnard, CA",26.05
Front Desk Manager,"Marriott International, Inc","900 W Olympic Blvd, Los Angeles, CA 90015",30.05
Driver,CalMed Transport,"Ukiah, CA",51.77
OFFICE TECHNICIAN (TYPING),Department of Social Services,"Riverside County, CA",25.4
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Food Service Dishwasher,Front Porch,"Cupertino, CA 95014",22.5
Front Desk Agent,Fairfield Inn by Marriott,"9550 Pittsburgh Avenue, Rancho Cucamonga, CA 91730",16.5
Birthday Party Instructor,Mad Science Group,"San Diego, CA 92130",66.25
"Executive Assistant, part-time",HME,"Carlsbad, CA",45.26
Transport Operation,Alibaba,"10320 6th St, Rancho Cucamonga, CA 91730",28.12
"Flagger 2 (Vallejo, CA)","RoadSafe Traffic Systems, Inc.","Vallejo, CA 94503",19.0
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
tiktok host,CAC auto group,"2225 W Commonwealth Ave, Alhambra, CA 91803",30.0
Call Center Representative I,Northrop Grumman Federal Credi,"Gardena, CA 90248",23.16
"ASSISTANT TO THE GOVERNOR, OFFICE OF PLANNING AND RESEARCH",Governor's Office of Planning and Research,"Sacramento County, CA",68.75
Construction Worker,Habitat for Humanity of Greater Los Angeles,"Lancaster, CA",22.0
Warehouse Associate / Case Labeler,humano,"Chino, CA 91708",16.5
Enviro Serv Worker I - Per Diem,Barstow Community Hospital,"820 East Mountain View Street, Barstow, CA 92311",20.0
Construction Worker/Laborer,EcoVAP Inc.,"67750 Bailey Rd, Mountain Pass, CA 92364",25.0
CANNABIOTIX - Entry Level Product Packagers,Cannabiotix,"Cudahy, CA",17.0
Housekeeper / Room Attendant,Courtyard by Marriott,"Agoura Hills, CA 91301",18.0
Material Handler,Infinera,"San Jose, CA",42.71
Administrative Assistant - FT - Days - Respiratory Care Services,El Camino Health,"Mountain View, CA",40.95
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Medical Imaging Clerk,Sutter Health,"Antioch, CA",31.91
HR Assistant,Fahrney Automotive Group,"Selma, CA 93662",18.0
Supply Attendant,Delta Airlines,"Los Angeles, CA",24.73
Food Service Worker III,Stanford University,"Stanford, CA",25.07
Host/Hostess,Houston's,"Pasadena, CA 91105",20.0
Shipping and Receiving Clerk,Imperial Valley Auto,"602 Wake Ave, El Centro, CA 92243",18.0
Full-Time Research Assistant at UCLA,UCLA,"Los Angeles, CA",48.47
Research Project Assistant,University of California - Irvine,"Irvine, CA",36.36
Social Media Specialist,Stay In The Game,"Los Angeles, CA",24.0
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Software Developer I (Fully Remote),Hinderliter de Llamas & Associates,"Brea, CA 92821",37.0
PACKING & SHIPPING SUPPORT – part time position initially ( 2-3 days a week,"Vivalnk, Inc","51 East Campbell Avenue, Campbell, CA 95008",22.5
Dishwasher,PF Changs,"340 South Pine Avenue, Long Beach, CA 90802",18.5
Warehouse Floor Lead,Lululemon,"Ontario, CA",31.68
Custodian,Torrance Unified School District,"2335 Plaza Del AMO, Torrance, CA 90501",24.5
ASSISTANT STORE DIRECTOR - RODEO DRIVE,Louis Vuitton,"295 North Rodeo Drive, Beverly Hills, CA",80.73
Administrative Assistant II,Abbott Laboratories,"Temecula, CA",34.85
Host/Hostess,Outback Steakhouse,"6505 Regional Street, Dublin, CA 94568",21.5
Warehouse Loader/Unloader,"Warehouse Services, Inc.","San Bernardino, CA 92407",19.0
Housekeeper / Room Attendant,Courtyard by Marriott,"Agoura Hills, CA 91301",18.0
Administrative Assistant,Circle Pharma,"South San Francisco, CA",44.75
"Coordinator, Evaluation, Assessment & Continuous Improvement",Orange County Department of Education,"200 Kalmus Dr, Costa Mesa, CA 92626",69.88
Amazon Warehouse Sorter,Alliance Ground International,"San Francisco, CA",23.0
Warehouse Package Handler - PM,OnTrac,"8151 Airway Rd, San Diego, CA 92154",17.0
Medical Front Office Receptionist,QC Kinetix,"4033 3rd Ave, San Diego, CA 92103",30.0
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
Estate Manager,Best Employment Corp,"Westwood, CA",97.66
Public Affairs Officer,City of Long Beach,"City of Long Beach in Long Beach, CA 90802",66.41
Retail Associate (PT),Goodwill Southern California,"21070 Golden Springs Dr, Diamond Bar, CA 91789",17.35
Cannabis Budtender,Cana Sylmar,"13509 Hubbard Street, Los Angeles, CA 91342",17.39
cashier/clerk,CVS Health,"Porterville, CA",17.25
Front Desk Agent,Ayres Suites Yorba Linda,"22677 Oakcrest Cir, Yorba Linda, CA 92887",18.5
Warehouse Case Picker,Ryder,"Fontana, CA 92335",20.75
Junior Analyst,ExoAnalytic Solutions,"El Segundo, CA 90245",50.78
WAREHOUSE WORKER,Department of General Services,"Sacramento County, CA",25.18
Member Services II (Driver/Customer Service),"California State Assembly, Sergeant-at-Arms","California State Assembly, Sergeant-at-Arms in Sacramento, CA 95814",35.4
Human Resources Assistant,CIRM,"South San Francisco, CA 94080",45.33
BH Specialist - Call Center,Inland Empire Health Plan,"10801 6th St, Rancho Cucamonga, CA 91730",27.27
Executive Assistant,Production Club,"Los Angeles, CA",45.0
Data Analyst III,Kaiser Permanente,"Tustin, CA 92780",52.51
Executive Assistant,Production Club,"Los Angeles, CA",45.0
Data Analyst III,Kaiser Permanente,"Tustin, CA 92780",52.51
Executive Assistant,Kodiak Roofing & Waterproofing Co.,"8825 Washington Blvd Ste 100, Roseville, CA 95678",36.52
Weighmaster/Customer Service Specialist,Recology,"3001 Levee Road, Marysville, CA 95901",22.28
"ENV SVCS WKR/HOUSEKEEPER - Per Diem, Evening",Palmdale Regional Medical Center,"38600 Medical Center Drive, Palmdale, CA 93551",20.91
Cashier,Valley View Casino & Hotel,"16300 Nyemii Pass Road, Valley Center, CA 92082",17.5
TIKTOK LIVE SALES ANCHOR/HOST IN INDUSTRY CITY,HOT STAR AGENT LLC,"827 South Lawson Street, Industry, CA 91748",30.0
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Pharmacy Technician II,Good Samaritan Hospital,"2425 Samaritan Drive, San Jose, CA 95124",37.53
Surgery Scheduler,BASS SURGERY CENTER,"BASS SURGERY CENTER in Walnut Creek, CA 94598",32.0
Property Manager,Confidential,"Sacramento, CA",32.0
Customer Service Representative,Confidential,"Northridge, CA",21.0
Club - Member Experience Concierge,"Marriott International, Inc","13031 Ritz Carlton Highlands Ct, Truckee, CA 96161",23.69
Delivery Driver/Warehouse Associate,Royal Industrial Solutions San Fernando Valley,"9400 Norwalk Boulevard, Santa Fe Springs, CA 90670",27.34
Administrative Assistant,Rebel Convenience Stores,"1450 N Benson Ave, Upland, CA 91786",20.5
Warehouse worker,SPEC,"Hayward, CA 94545",22.0
Customer Service Representative,Smooth Sailing Recruitment,"Smooth Sailing Recruitment in Santa Clara, CA 95054",27.5
Dishwasher,Riley's on Sutter,"608 Sutter Street, Folsom, CA 95630",17.5
Customer Service Representative/Accounting,Versatile Surfaces,"7550 Miramar Rd, San Diego, CA 92126",28.0
Administrative Assistant III (support EVP),"Yoh, A Day & Zimmermann Company","Culver City, CA",35.0
Warehouse worker,SPEC,"Hayward, CA 94545",22.0
Customer Service Representative,Smooth Sailing Recruitment,"Smooth Sailing Recruitment in Santa Clara, CA 95054",27.5
Dishwasher,Riley's on Sutter,"608 Sutter Street, Folsom, CA 95630",17.5
Customer Service Representative/Accounting,Versatile Surfaces,"7550 Miramar Rd, San Diego, CA 92126",28.0
Receptionist/Office Assistant,Newport SMP,"Newport Beach, CA",24.5
Fuels Reduction - Fuels Crew Lead,Butte County Fire Safe Council,"Paradise, CA",25.0
Housekeeping & Laundry Aide,Deployed Resources LLC,"San Diego, CA 92154",24.0
Armed Security Guard,"WGS Group, Inc.","Fresno, CA",22.0
Front Office Receptionist,Vive Management Services LLC,"Vive Management Services LLC in Hesperia, CA 92345",18.5
Medical Call Center Scheduler - Must Speak Spanish - Evening Shift 4pm-7pm,Confidential,"Chula Vista, CA",23.0
Quality Assurance/Quality Control,Dave Wilson Nursery,"19701 Lake Rd, Hickman, CA 95323",49.48
Amazon Delivery Driver,"BABA Logistics, Inc.","San Francisco, CA",23.0
HR Generalist,Confidential,"Confidential in Los Angeles, CA 90046",41.67
Social Media Influencer (Sports + Sports Cards),Mojobreak INC,"2060 Duane Av, Santa Clara, CA 95054",24.0
Hospital Security Officer,Securitas Inc.,"Placerville, CA 95667",20.75
Accounts Payable Specialist,All Weather Insulated Panels,"Vacaville, CA",35.5
Warehouse Assistant,Norman S. Wright,"1919 Lundy Avenue, San Jose, CA 95131",22.13
Operator - Medical Call Center - Part Time,Vista Community Clinic,"Vista, CA 92084",19.5
Director of Manufacturing,K-1 Packaging Group,"17989 Arenth Avenue, Industry, CA 91748",91.15
Apartment Property Manager,CANNON MANAGEMENT,"CANNON MANAGEMENT in Bakersfield, CA 93301",26.5
Client Service Representative,clé tile,"2143 Francisco Blvd E, San Rafael, CA 94901",31.25
Buyer,Bloom Energy,"4353 N 1st St, San Jose, CA 95134",44.5
Customer Service Associate,Danny Thomas Party Rentals,"1195 Tasman Drive, Sunnyvale, CA 94089",24.5
Bookkeeper,BCH,"585 Taylor Way Ste 3, San Carlos, CA 94070",33.5
Front Desk Receptionist,Allegiance Gold,"27001 Agoura Road, Agoura Hills, CA 91301",23.0
Career Nanny needed for Infant in Malibu,The Nanny Standard,"Malibu, CA",32.5
Estate Manager,"Excellence Services, LLC","Atherton, CA",75.78
